season,INNING,INNING_TB,HOME_AWAY,RUNNER_STATE,OUT_COUNT,UNDER_4,UNDER_3,UNDER_2,UNDER_1,TIED,UPPER_1,UPPER_2,UPPER_3,UPPER_4
2025,3,1,home,6,1,1.66,1.89,2.0,1.93,1.7,1.42,1.13,0.83,0.48
2025,3,1,home,7,1,2.31,2.59,2.7,2.58,2.27,1.87,1.45,1.05,0.62
2025,3,1,home,0,2,0.29,0.36,0.41,0.43,0.42,0.36,0.29,0.22,0.17
2025,3,1,home,1,2,0.67,0.83,0.94,0.98,0.92,0.79,0.63,0.47,0.32
2025,3,1,home,2,2,0.89,1.11,1.28,1.37,1.3,1.13,0.9,0.68,0.48
2025,3,1,home,3,2,1.36,1.65,1.85,1.92,1.79,1.52,1.2,0.88,0.6
2025,3,1,home,4,2,0.95,1.2,1.39,1.49,1.44,1.25,1.0,0.75,0.54
2025,3,1,home,5,2,1.41,1.72,1.93,2.0,1.87,1.59,1.26,0.93,0.64
2025,3,1,home,6,2,1.69,2.06,2.32,2.39,2.22,1.88,1.48,1.09,0.65
2025,3,1,home,7,2,2.59,3.07,3.37,3.4,3.12,2.61,2.03,1.46,0.88
2025,4,0,away,0,0,0.73,0.88,1.03,1.1,1.06,0.91,0.73,0.54,0.4
2025,4,0,away,1,0,1.2,1.45,1.65,1.72,1.6,1.36,1.07,0.81,0.56
2025,4,0,away,2,0,1.05,1.26,1.42,1.45,1.33,1.11,0.88,0.65,0.45
2025,4,0,away,3,0,1.79,2.09,2.27,2.25,2.04,1.69,1.31,0.95,0.63
2025,4,0,away,4,0,1.13,1.35,1.5,1.51,1.36,1.13,0.88,0.65,0.45
2025,4,0,away,5,0,1.57,1.8,1.92,1.84,1.61,1.3,1.0,0.71,0.47
2025,4,0,away,6,0,1.34,1.51,1.56,1.45,1.24,1.01,0.78,0.55,0.33
2025,4,0,away,7,0,2.57,2.85,2.91,2.73,2.33,1.87,1.39,0.97,0.58
2025,4,0,away,0,1,0.48,0.6,0.73,0.8,0.77,0.67,0.53,0.41,0.3
2025,4,0,away,1,1,0.92,1.16,1.34,1.45,1.37,1.18,0.95,0.72,0.5
2025,4,0,away,2,1,0.98,1.24,1.45,1.56,1.49,1.28,1.03,0.79,0.55
2025,4,0,away,3,1,1.59,1.95,2.22,2.32,2.19,1.85,1.47,1.08,0.74
2025,4,0,away,4,1,0.9,1.13,1.34,1.51,1.48,1.31,1.06,0.81,0.58
2025,4,0,away,5,1,1.42,1.72,1.93,1.99,1.9,1.63,1.32,0.98,0.68
2025,4,0,away,6,1,1.54,1.85,2.07,2.07,1.88,1.6,1.27,0.95,0.55
2025,4,0,away,7,1,2.19,2.57,2.79,2.78,2.51,2.1,1.64,1.21,0.73
2025,4,0,away,0,2,0.26,0.34,0.4,0.46,0.45,0.4,0.32,0.25,0.18
2025,4,0,away,1,2,0.6,0.78,0.93,1.04,1.0,0.89,0.7,0.54,0.37
2025,4,0,away,2,2,0.78,1.02,1.25,1.43,1.41,1.25,1.01,0.77,0.55
2025,4,0,away,3,2,1.23,1.56,1.85,2.02,1.94,1.7,1.36,1.01,0.69
2025,4,0,away,4,2,0.84,1.1,1.35,1.56,1.55,1.38,1.13,0.86,0.63
2025,4,0,away,5,2,1.26,1.61,1.91,2.11,2.03,1.78,1.43,1.06,0.73
2025,4,0,away,6,2,1.52,1.95,2.31,2.53,2.41,2.09,1.67,1.25,0.75
2025,4,0,away,7,2,2.36,2.95,3.4,3.62,3.41,2.92,2.3,1.67,1.02
2025,4,1,home,0,0,0.81,1.0,1.12,1.16,1.04,0.84,0.63,0.46,0.31
2025,4,1,home,1,0,1.34,1.6,1.77,1.77,1.56,1.23,0.92,0.65,0.44
2025,4,1,home,2,0,1.18,1.39,1.52,1.49,1.29,1.01,0.74,0.52,0.35
2025,4,1,home,3,0,1.99,2.27,2.4,2.28,1.95,1.52,1.11,0.76,0.49
2025,4,1,home,4,0,1.27,1.48,1.6,1.53,1.3,1.02,0.75,0.52,0.33
2025,4,1,home,5,0,1.73,1.95,2.0,1.83,1.51,1.15,0.83,0.56,0.35
2025,4,1,home,6,0,1.47,1.62,1.6,1.42,1.16,0.9,0.65,0.44,0.25
2025,4,1,home,7,0,2.81,3.02,2.98,2.66,2.16,1.63,1.15,0.76,0.44
2025,4,1,home,0,1,0.55,0.68,0.8,0.85,0.78,0.63,0.48,0.34,0.23
2025,4,1,home,1,1,1.05,1.28,1.47,1.52,1.37,1.11,0.82,0.59,0.38
2025,4,1,home,2,1,1.12,1.38,1.58,1.64,1.49,1.19,0.9,0.65,0.43
2025,4,1,home,3,1,1.79,2.15,2.39,2.4,2.13,1.7,1.27,0.89,0.57
2025,4,1,home,4,1,1.03,1.26,1.49,1.62,1.52,1.23,0.94,0.68,0.46
2025,4,1,home,5,1,1.59,1.88,2.07,2.06,1.89,1.54,1.16,0.81,0.52
2025,4,1,home,6,1,1.74,2.04,2.2,2.12,1.84,1.48,1.11,0.79,0.44
2025,4,1,home,7,1,2.43,2.79,2.94,2.81,2.42,1.92,1.42,0.99,0.57
2025,4,1,home,0,2,0.29,0.37,0.44,0.48,0.46,0.38,0.29,0.21,0.15
2025,4,1,home,1,2,0.68,0.86,1.02,1.09,1.01,0.83,0.63,0.45,0.29
2025,4,1,home,2,2,0.89,1.14,1.38,1.52,1.44,1.19,0.91,0.66,0.43
2025,4,1,home,3,2,1.39,1.74,2.03,2.13,1.95,1.59,1.2,0.84,0.54
2025,4,1,home,4,2,0.96,1.23,1.5,1.66,1.59,1.32,1.01,0.73,0.49
2025,4,1,home,5,2,1.43,1.8,2.1,2.22,2.05,1.66,1.26,0.89,0.58
2025,4,1,home,6,2,1.72,2.17,2.54,2.66,2.41,1.95,1.47,1.04,0.59
2025,4,1,home,7,2,2.67,3.26,3.69,3.76,3.37,2.7,2.01,1.38,0.79
2025,5,0,away,0,0,0.72,0.94,1.13,1.24,1.16,0.96,0.73,0.52,0.37
2025,5,0,away,1,0,1.21,1.53,1.79,1.9,1.74,1.42,1.07,0.77,0.51
2025,5,0,away,2,0,1.08,1.35,1.55,1.61,1.44,1.16,0.87,0.62,0.4
2025,5,0,away,3,0,1.84,2.24,2.49,2.47,2.18,1.73,1.29,0.89,0.56
2025,5,0,away,4,0,1.17,1.45,1.65,1.67,1.47,1.16,0.87,0.61,0.39
2025,5,0,away,5,0,1.63,1.95,2.11,2.02,1.7,1.31,0.96,0.65,0.42
2025,5,0,away,6,0,1.42,1.65,1.72,1.58,1.3,1.02,0.76,0.51,0.29
2025,5,0,away,7,0,2.73,3.1,3.2,2.95,2.44,1.88,1.34,0.89,0.52
2025,5,0,away,0,1,0.46,0.64,0.79,0.89,0.86,0.71,0.54,0.4,0.27
2025,5,0,away,1,1,0.92,1.21,1.48,1.62,1.53,1.25,0.96,0.68,0.46
2025,5,0,away,2,1,0.99,1.3,1.58,1.75,1.66,1.36,1.03,0.74,0.5
2025,5,0,away,3,1,1.61,2.06,2.44,2.59,2.38,1.94,1.46,1.03,0.68
2025,5,0,away,4,1,0.92,1.2,1.45,1.7,1.66,1.39,1.08,0.79,0.53
2025,5,0,away,5,1,1.46,1.83,2.12,2.22,2.1,1.73,1.33,0.94,0.62
