# HOME_AWAY,INNING,INNING_TB,OUT_COUNT,BASE_STATE,UNDER_5,UNDER_4,UNDER_3,UNDER_2,UNDER_1,TIE,UPPER_1,UPPER_2,UPPER_3,UPPER_4,UPPER_5
A,3,0,1,123,0.18,0.246,0.325,0.415,0.511,0.608,0.697,0.775,0.838,0.886,0.923
A,3,0,2,0,0.084,0.126,0.183,0.258,0.349,0.454,0.563,0.664,0.751,0.821,0.876
A,3,0,2,1,0.091,0.135,0.195,0.271,0.364,0.468,0.575,0.674,0.759,0.828,0.88
A,3,0,2,2,0.096,0.142,0.203,0.282,0.376,0.481,0.587,0.684,0.767,0.834,0.885
A,3,0,2,12,0.105,0.153,0.216,0.296,0.389,0.493,0.597,0.692,0.773,0.838,0.888
A,3,0,2,3,0.098,0.145,0.207,0.286,0.381,0.486,0.591,0.688,0.77,0.836,0.887
A,3,0,2,13,0.108,0.157,0.222,0.302,0.396,0.5,0.604,0.698,0.778,0.842,0.891
A,3,0,2,23,0.113,0.163,0.229,0.31,0.405,0.508,0.61,0.703,0.782,0.845,0.893
A,3,0,2,123,0.128,0.181,0.25,0.332,0.426,0.528,0.627,0.717,0.792,0.853,0.898
A,3,0,3,0,0.079,0.119,0.174,0.247,0.338,0.443,0.552,0.655,0.744,0.816,0.872
H,3,1,0,0,0.128,0.184,0.256,0.345,0.448,0.557,0.662,0.753,0.826,0.881,0.921
H,3,1,0,1,0.156,0.219,0.297,0.389,0.492,0.597,0.696,0.779,0.845,0.895,0.931
H,3,1,0,2,0.17,0.237,0.32,0.416,0.521,0.626,0.72,0.799,0.86,0.906,0.938
H,3,1,0,12,0.203,0.275,0.361,0.457,0.558,0.657,0.744,0.817,0.873,0.915,0.944
H,3,1,0,3,0.182,0.252,0.339,0.439,0.547,0.651,0.743,0.817,0.874,0.916,0.946
H,3,1,0,13,0.217,0.293,0.384,0.484,0.587,0.685,0.769,0.837,0.889,0.926,0.952
H,3,1,0,23,0.235,0.316,0.409,0.511,0.614,0.708,0.788,0.851,0.899,0.933,0.957
H,3,1,0,123,0.268,0.351,0.445,0.543,0.64,0.728,0.803,0.862,0.906,0.938,0.96
H,3,1,1,0,0.111,0.162,0.231,0.317,0.419,0.531,0.64,0.735,0.813,0.872,0.915
H,3,1,1,1,0.129,0.186,0.258,0.348,0.45,0.559,0.664,0.754,0.827,0.882,0.922
H,3,1,1,2,0.139,0.198,0.274,0.366,0.471,0.579,0.681,0.768,0.837,0.89,0.927
H,3,1,1,12,0.16,0.223,0.302,0.394,0.496,0.601,0.698,0.781,0.847,0.896,0.931
H,3,1,1,3,0.151,0.215,0.296,0.393,0.5,0.609,0.707,0.789,0.854,0.901,0.936
H,3,1,1,13,0.173,0.241,0.324,0.421,0.526,0.63,0.724,0.802,0.863,0.908,0.94
H,3,1,1,23,0.187,0.259,0.345,0.444,0.549,0.65,0.741,0.815,0.872,0.914,0.944
H,3,1,1,123,0.208,0.281,0.367,0.464,0.565,0.663,0.749,0.821,0.876,0.917,0.946
H,3,1,2,0,0.099,0.148,0.213,0.297,0.399,0.512,0.624,0.722,0.803,0.865,0.91
H,3,1,2,1,0.108,0.158,0.226,0.312,0.414,0.526,0.636,0.732,0.81,0.87,0.913
H,3,1,2,2,0.113,0.166,0.236,0.323,0.426,0.538,0.647,0.741,0.817,0.875,0.917
H,3,1,2,12,0.123,0.178,0.25,0.338,0.44,0.55,0.656,0.748,0.822,0.878,0.919
H,3,1,2,3,0.115,0.169,0.24,0.328,0.432,0.544,0.651,0.745,0.82,0.877,0.918
H,3,1,2,13,0.127,0.183,0.256,0.345,0.448,0.558,0.663,0.753,0.826,0.881,0.921
H,3,1,2,23,0.132,0.19,0.264,0.354,0.456,0.565,0.668,0.758,0.829,0.884,0.923
H,3,1,2,123,0.149,0.21,0.286,0.377,0.478,0.584,0.684,0.77,0.838,0.89,0.927
H,3,1,3,0,0.093,0.14,0.203,0.286,0.386,0.5,0.614,0.714,0.797,0.86,0.907
A,4,0,0,0,0.093,0.14,0.203,0.286,0.386,0.5,0.614,0.714,0.797,0.86,0.907
A,4,0,0,1,0.118,0.172,0.242,0.33,0.433,0.544,0.651,0.744,0.819,0.876,0.918
A,4,0,0,2,0.129,0.188,0.264,0.357,0.463,0.575,0.678,0.767,0.837,0.889,0.927
A,4,0,0,12,0.159,0.224,0.305,0.4,0.504,0.609,0.706,0.787,0.851,0.9,0.934
A,4,0,0,3,0.138,0.201,0.281,0.379,0.49,0.602,0.703,0.787,0.853,0.901,0.935
A,4,0,0,13,0.171,0.24,0.326,0.426,0.534,0.64,0.733,0.81,0.869,0.913,0.943
A,4,0,0,23,0.187,0.261,0.351,0.455,0.563,0.665,0.754,0.826,0.881,0.921,0.949
A,4,0,0,123,0.219,0.297,0.389,0.489,0.592,0.688,0.771,0.838,0.889,0.926,0.952
A,4,0,1,0,0.078,0.12,0.179,0.257,0.356,0.471,0.589,0.694,0.782,0.849,0.899
A,4,0,1,1,0.094,0.141,0.205,0.288,0.389,0.502,0.616,0.716,0.798,0.861,0.907
A,4,0,1,2,0.102,0.152,0.22,0.306,0.41,0.524,0.635,0.732,0.81,0.87,0.914
A,4,0,1,12,0.121,0.176,0.247,0.336,0.438,0.548,0.654,0.746,0.821,0.878,0.919
A,4,0,1,3,0.112,0.166,0.239,0.331,0.44,0.555,0.663,0.755,0.829,0.884,0.924
A,4,0,1,13,0.132,0.191,0.268,0.362,0.469,0.58,0.683,0.77,0.839,0.891,0.928
A,4,0,1,23,0.144,0.207,0.288,0.385,0.493,0.602,0.701,0.785,0.85,0.899,0.934
A,4,0,1,123,0.163,0.23,0.312,0.407,0.511,0.616,0.712,0.792,0.855,0.902,0.936
A,4,0,2,0,0.069,0.107,0.162,0.238,0.335,0.45,0.571,0.68,0.77,0.841,0.894
A,4,0,2,1,0.075,0.117,0.174,0.252,0.35,0.466,0.584,0.69,0.779,0.847,0.898
A,4,0,2,2,0.08,0.123,0.183,0.263,0.363,0.479,0.596,0.701,0.786,0.853,0.902
A,4,0,2,12,0.089,0.135,0.197,0.279,0.379,0.492,0.607,0.709,0.793,0.857,0.905
A,4,0,2,3,0.082,0.125,0.187,0.268,0.369,0.485,0.601,0.705,0.79,0.855,0.904
A,4,0,2,13,0.092,0.138,0.202,0.285,0.386,0.5,0.614,0.715,0.797,0.861,0.907
